reflectance	line
2002	0
2003	0
2006	0
2010	0
2015	0
2016	0
2017	0
2019	0
2021	0
2026	0
2029	0
2030	0
2031	0
2032	0
2034	0
2035	0
2036	0
2044	0
2045	0
2046	0
2047	0
2053	0
2055	0
2057	0
2058	0
2059	0
2060	0
2061	0
2064	0
2065	0
2066	0
2067	0
2071	0
2077	0
2079	0
2080	0
2081	0
2087	0
2095	0
2096	0
2098	0
2099	0
2102	0
2103	0
2105	0
2107	0
2111	0
2112	0
2113	0
2117	0
2121	0
2122	0
2125	0
2126	0
2127	0
2128	0
2130	0
2133	0
2146	0
2154	0
2155	0
2157	0
2158	0
2160	0
2161	0
2163	0
2170	0
2171	0
2176	0
2177	0
2178	0
2179	0
2181	0
2186	0
2188	0
2192	0
2193	0
2194	0
2195	0
2196	0
2197	0
2201	0
2202	0
2203	0
2205	0
2206	0
2207	0
2208	0
2211	0
2212	0
2213	0
2214	0
2215	0
2217	0
2218	0
2219	0
2220	0
2221	0
2222	0
2223	0
2224	0
2225	0
2226	0
2227	0
2228	0
2229	0
2230	0
2233	0
2237	0
2246	0
2250	0
2256	0
2263	0
2269	0
2270	0
2273	0
2274	0
2275	0
2286	0
2288	0
2298	0
2304	0
2306	0
2315	0
2319	0
2320	0
2321	0
2322	0
2323	0
2324	0
2325	0
2326	0
2330	0
2337	0
2338	0
2342	0
2343	0
2349	0
2352	0
2353	0
2366	0
2368	0
2369	0
2371	0
2374	0
2379	0
2380	0
2381	0
2383	0
1571	0
511	0
320	0
415	0
341	0
304	0
312	0
325	0
357	0
384	0
461	0
440	0
373	0
380	0
370	0
371	0
383	0
421	0
393	0
390	0
385	0
387	0
386	0
391	0
381	0
375	0
382	0
379	0
377	0
378	0
372	0
374	0
368	0
366	0
369	0
365	0
363	0
359	0
349	0
347	0
344	0
346	0
338	0
337	0
342	0
354	0
361	0
356	0
360	0
367	0
364	0
350	0
358	0
355	0
353	0
351	0
352	0
362	0
399	0
400	0
398	0
396	0
394	0
397	0
403	0
409	0
413	0
429	0
428	0
432	0
435	0
423	0
420	0
412	0
401	0
402	0
405	0
395	0
407	0
411	0
418	0
416	0
443	0
473	0
496	0
551	0
585	0
581	0
578	0
543	0
477	0
471	0
479	0
459	0
470	0
462	0
449	0
289	0
228	0
203	0
208	0
202	0
201	0
198	0
196	0
194	0
193	0
192	0
191	0
190	0
187	0
186	0
189	0
184	0
185	0
183	0
188	0
182	0
181	0
179	0
177	0
170	0
176	0
166	0
167	0
164	0
169	0
172	0
174	0
227	0
237	0
214	0
175	0
162	0
171	0
159	0
160	0
163	0
165	0
168	0
236	0
615	0
256	0
157	0
161	0
155	0
149	0
148	0
140	0
138	0
131	0
133	0
134	0
142	0
145	0
154	0
153	0
144	0
130	0
128	0
129	0
238	0
334	0
634	0
973	0
1153	0
1220	0
1217	0
1168	0
1136	0
1104	0
1095	0
1105	0
1015	0
959	0
859	0
699	0
672	0
721	0
832	0
1330	0
1623	0
1904	0
2384	0
2385	0
2387	0
2391	0
2395	0
2397	0
2398	0
2399	0
2403	0
2405	0
2406	0
2407	0
2409	0
2411	0
2417	0
2422	0
2427	0
2429	0
2431	0
2432	0
2435	0
2438	0
2439	0
2442	0
2443	0
2445	0
2446	0
2448	0
1814	0
1535	0
1363	0
1349	0
1421	0
1522	0
1595	0
1625	0
1628	0
1643	0
1638	0
1584	0
1488	0
1369	0
1281	0
1298	0
1429	0
1622	0
1645	0
1591	0
1487	0
1405	0
1392	0
1423	0
1447	0
1424	0
1303	0
1329	0
1403	0
1395	0
1376	0
1324	0
1278	0
1223	0
1169	0
1138	0
1057	0
944	0
809	0
703	0
677	0
674	0
652	0
653	0
675	0
704	0
741	0
731	0
687	0
720	0
752	0
793	0
835	0
827	0
788	0
786	0
819	0
847	0
816	0
770	0
747	0
757	0
769	0
773	0
784	0
796	0
822	0
830	0
790	0
691	0
621	0
631	0
605	0
562	0
573	0
594	0
624	0
626	0
670	0
654	0
705	0
889	0
857	0
662	0
794	0
1077	0
1485	0
1322	0
1173	0
1297	0
1477	0
1650	0
1983	0
2449	0
2451	0
2460	0
2462	0
2465	0
2467	0
2471	0
2475	0
2477	0
2478	0
2479	0
1738	0
1430	0
1456	0
1479	0
1455	0
1453	0
1440	0
1417	0
1452	0
1413	0
1381	0
1408	0
1422	0
1299	0
989	0
610	0
345	0
272	0
293	0
538	0
667	0
805	0
905	0
933	0
917	0
887	0
849	0
846	0
881	0
931	0
919	0
891	0
818	0
706	0
638	0
327	0
298	0
268	0
242	0
229	0
219	0
226	0
240	0
263	0
303	0
498	0
561	0
593	0
661	0
722	0
739	0
710	0
642	0
533	0
308	0
292	0
331	0
274	0
270	0
301	0
603	0
880	0
994	0
1111	0
1214	0
1280	0
1285	0
1232	0
1182	0
1157	0
1088	0
1052	0
1099	0
1203	0
1316	0
1401	0
1441	0
1445	0
1397	0
1312	0
1238	0
1206	0
1174	0
1081	0
947	0
853	0
774	0
678	0
499	0
310	0
224	0
222	0
215	0
233	0
235	0
258	0
259	0
267	0
297	0
583	0
541	0
531	0
525	0
495	0
465	0
417	0
324	0
336	0
548	0
550	0
437	0
524	0
537	0
476	0
451	0
427	0
340	0
333	0
323	0
313	0
309	0
306	0
302	0
321	0
326	0
330	0
410	0
419	0
414	0
422	0
433	0
448	0
445	0
453	0
441	0
455	0
454	0
464	0
467	0
482	0
492	0
486	0
527	0
530	0
546	0
557	0
576	0
602	0
645	0
688	0
715	0
719	0
765	0
787	0
817	0
815	0
838	0
828	0
837	0
845	0
879	0
901	0
929	0
951	0
960	0
965	0
970	0
978	0
1005	0
1033	0
1058	0
1070	0
1100	0
1118	0
1131	0
1120	0
1130	0
1126	0
1133	0
1143	0
1189	0
1187	0
1200	0
1194	0
1184	0
1175	0
1160	0
1141	0
1128	0
1150	0
1294	0
1355	0
1407	0
1469	0
1501	0
1510	0
1514	0
1520	0
1527	0
1524	0
1519	0
1523	0
1525	0
1533	0
1529	0
1553	0
1555	0
1569	0
1598	0
1633	0
1673	0
1714	0
1765	0
1810	0
1840	0
1856	0
1863	0
1864	0
1867	0
1869	0
1868	0
1866	0
1865	0
1871	0
1872	0
1870	0
1874	0
1877	0
1895	0
1887	0
1894	0
1899	0
1915	0
1922	0
1932	0
1935	0
1920	0
1901	0
1889	0
1879	0
1854	0
1860	0
1862	0
1861	0
1857	0
1853	0
1875	0
1888	0
1885	0
1882	0
1878	0
1881	0
1876	0
1897	0
1898	0
1891	0
1893	0
1902	0
1903	0
1890	0
1859	0
1851	0
1873	0
1850	0
1858	0
1852	0
1917	0
1949	0
1995	0
2480	0
2483	0
2485	0
2486	0
2487	0
2493	0
2494	0
2495	0
2496	0
2497	0
2499	0
2501	0
2503	0
